trade_date,total_pnl,num_trades,avg_pnl,win_rate,total_volume_usd,avg_trade_size,total_abs_pnl,value,classification,sentiment_category
2025-02-14,23855.38,75,318.07,0.91,135311.99,1804.16,23855.38,48,Neutral,Neutral
2025-02-15,9.86,7,1.41,0.14,20895.48,2985.07,9.86,50,Neutral,Neutral
2025-02-16,0.0,5,0.0,0.0,4627.43,925.49,0.0,54,Neutral,Neutral
2025-02-17,6.77,46,0.15,0.04,198136.31,4307.31,6.77,51,Neutral,Neutral
2025-02-18,778.68,12,64.89,0.42,13230.03,1102.5,778.68,47,Neutral,Neutral
2025-02-19,37.97,5,7.59,0.6,26634.04,5326.81,37.97,44,Fear,Fear
2025-02-20,306.17,11,27.83,0.45,50734.44,4612.22,306.17,49,Neutral,Neutral
2025-02-21,1173.87,22,53.36,0.59,50553.32,2297.88,1173.87,55,Greed,Neutral
2025-02-22,0.0,7,0.0,0.0,10504.88,1500.7,0.0,49,Neutral,Neutral
2025-02-24,2048.25,40,51.21,0.4,177024.17,4425.6,2054.68,49,Neutral,Neutral
2025-02-25,68198.1,64,1065.6,0.7,1023705.82,15995.4,68198.1,25,Fear,Extreme Fear
2025-02-26,8245.79,5,1649.16,1.0,26215.85,5243.17,8245.79,21,Extreme Fear,Extreme Fear
2025-02-27,2047.56,6,341.26,0.67,18186.12,3031.02,2047.56,10,Extreme Fear,Extreme Fear
2025-02-28,52.71,8,6.59,0.38,8946.11,1118.26,52.71,16,Extreme Fear,Extreme Fear
2025-03-01,0.0,5,0.0,0.0,3396.39,679.28,0.0,20,Extreme Fear,Extreme Fear
2025-03-02,1500.78,10,150.08,0.8,4763.64,476.36,1500.78,26,Fear,Fear
2025-03-03,22802.33,28,814.37,0.68,209188.71,7471.03,22802.33,33,Fear,Fear
2025-03-04,30923.46,70,441.76,0.37,240897.67,3441.4,35833.32,15,Extreme Fear,Extreme Fear
2025-03-05,839.04,19,44.16,0.53,54460.39,2866.34,839.04,20,Extreme Fear,Extreme Fear
2025-03-06,111.92,3,37.31,0.67,64318.75,21439.58,111.92,25,Fear,Extreme Fear
2025-03-07,101.64,9,11.29,0.22,23150.29,2572.25,101.64,34,Fear,Fear
2025-03-08,95.08,5,19.02,0.8,3798.32,759.66,95.08,28,Fear,Fear
2025-03-09,63.99,8,8.0,0.38,12762.17,1595.27,63.99,27,Fear,Fear
2025-03-10,-206.67,21,-9.84,0.1,253164.52,12055.45,247.13,20,Extreme Fear,Extreme Fear
